year,stock,capture,index
1950,Coryphaena hippurus,1003,NA
1950,Panulirus argus,1300,NA
1950,Thunnus atlanticus,900,NA
1951,Coryphaena hippurus,1012,NA
1951,Panulirus argus,1100,NA
1951,Thunnus atlanticus,900,NA
1952,Coryphaena hippurus,1312,NA
1952,Panulirus argus,1300,NA
1952,Thunnus atlanticus,900,NA
1953,Coryphaena hippurus,1313,NA
1953,Panulirus argus,1200,NA
1953,Thunnus atlanticus,1000,NA
1954,Coryphaena hippurus,1114,NA
1954,Panulirus argus,1800,NA
1954,Thunnus atlanticus,1200,NA
1955,Coryphaena hippurus,1105,NA
1955,Panulirus argus,2300,NA
1955,Thunnus atlanticus,600,NA
1956,Coryphaena hippurus,1304,NA
1956,Panulirus argus,4400,NA
1956,Thunnus atlanticus,1000,NA
1957,Coryphaena hippurus,1509,NA
1957,Panulirus argus,6900,NA
1957,Thunnus atlanticus,1200,NA
1958,Coryphaena hippurus,1707,NA
1958,Panulirus argus,5600,NA
1958,Thunnus atlanticus,1900,NA
1959,Coryphaena hippurus,1808,NA
1959,Panulirus argus,8300,NA
1959,Thunnus atlanticus,2000,NA
1960,Coryphaena hippurus,1706,NA
1960,Panulirus argus,8400,NA
1960,Thunnus atlanticus,2000,NA
1961,Coryphaena hippurus,1914,NA
1961,Panulirus argus,8700,NA
1961,Thunnus atlanticus,1700,NA
1962,Coryphaena hippurus,1511,NA
1962,Mugil cephalus,500,NA
1962,Panulirus argus,8000,NA
1962,Thunnus atlanticus,2300,NA
1963,Coryphaena hippurus,1204,NA
1963,Mugil cephalus,2000,NA
1963,Panulirus argus,7900,NA
1963,Thunnus atlanticus,2400,NA
1964,Coryphaena hippurus,1213,NA
1964,Mugil cephalus,1800,NA
1964,Panulirus argus,7400,NA
1964,Thunnus atlanticus,2400,NA
1965,Coryphaena hippurus,1115,NA
1965,Mugil cephalus,2200,NA
1965,Panulirus argus,9900,NA
1965,Thunnus atlanticus,2200,NA
1966,Coryphaena hippurus,1635,NA
1966,Mugil cephalus,1500,NA
1966,Panulirus argus,9800,NA
1966,Thunnus atlanticus,2000,NA
1967,Coryphaena hippurus,2086,NA
1967,Mugil cephalus,1100,NA
1967,Panulirus argus,9000,NA
1967,Thunnus atlanticus,2300,NA
1968,Coryphaena hippurus,1744,NA
1968,Mugil cephalus,1000,NA
1968,Panulirus argus,9500,NA
1968,Thunnus atlanticus,2100,NA
1969,Coryphaena hippurus,1828,NA
1969,Mugil cephalus,1100,NA
1969,Panulirus argus,11600,NA
1969,Thunnus atlanticus,2400,NA
1970,Coryphaena hippurus,1700,NA
1970,Mugil cephalus,700,NA
1970,Panulirus argus,8400,NA
1970,Thunnus atlanticus,3600,NA
1971,Coryphaena hippurus,1800,NA
1971,Mugil cephalus,1200,NA
1971,Panulirus argus,9500,NA
1971,Thunnus atlanticus,3400,NA
1972,Coryphaena hippurus,1700,NA
1972,Mugil cephalus,1400,NA
1972,Panulirus argus,9600,NA
1972,Thunnus atlanticus,3000,NA
1973,Coryphaena hippurus,1500,NA
1973,Mugil cephalus,1100,NA
1973,Panulirus argus,9600,NA
1973,Thunnus atlanticus,980,NA
1974,Coryphaena hippurus,1607,NA
1974,Mugil cephalus,1128,NA
1974,Panulirus argus,10550,NA
1974,Thunnus atlanticus,1528,NA
1975,Coryphaena hippurus,2029,NA
1975,Mugil cephalus,1772,26890
1975,Panulirus argus,9943,NA
1975,Thunnus atlanticus,1182,NA
1976,Coryphaena hippurus,2354,NA
1976,Mugil cephalus,1451,26734
1976,Panulirus argus,11241,NA
1976,Thunnus atlanticus,1740,NA
1977,Coryphaena hippurus,2323,NA
1977,Mugil cephalus,1679,26499
1977,Panulirus argus,8320,NA
1977,Thunnus atlanticus,1808,NA
1978,Coryphaena hippurus,2215,NA
1978,Mugil cephalus,2097,26106
1978,Panulirus argus,11516,NA
1978,Thunnus atlanticus,2076,NA
1979,Coryphaena hippurus,2349,NA
1979,Mugil cephalus,2048,25633
1979,Panulirus argus,12082,NA
1979,Thunnus atlanticus,1802,NA
1980,Coryphaena hippurus,1943,NA
1980,Mugil cephalus,3955,25160
1980,Panulirus argus,11486,NA
1980,Thunnus atlanticus,1915,NA
1981,Coryphaena hippurus,1866,NA
1981,Mugil cephalus,2893,23894
1981,Panulirus argus,12389,NA
1981,Thunnus atlanticus,2624,NA
1982,Coryphaena hippurus,2016,NA
1982,Mugil cephalus,2508,23262
1982,Panulirus argus,12810,NA
1982,Thunnus atlanticus,2699,NA
1983,Coryphaena hippurus,2824,NA
1983,Mugil cephalus,4570,22948
1983,Panulirus argus,12312,430
1983,Thunnus atlanticus,2489,NA
1984,Coryphaena hippurus,2014,NA
1984,Mugil cephalus,5817,22634
1984,Panulirus argus,13770,420
1984,Thunnus atlanticus,2530,NA
1985,Coryphaena hippurus,2539,NA
1985,Mugil cephalus,4234,22320
1985,Panulirus argus,15475,414
1985,Thunnus atlanticus,2052,NA
1986,Coryphaena hippurus,2258,NA
1986,Mugil cephalus,5250,22084
1986,Panulirus argus,14319,426
1986,Thunnus atlanticus,3228,NA
1987,Coryphaena hippurus,1917,NA
1987,Mugil cephalus,6827,21215
1987,Panulirus argus,14852,484
1987,Thunnus atlanticus,3844,NA
1988,Coryphaena hippurus,3341,NA
1988,Mugil cephalus,6365,19314
1988,Panulirus argus,13350,581
1988,Thunnus atlanticus,3551,NA
1989,Coryphaena hippurus,2474,NA
1989,Mugil cephalus,7827,16938
1989,Panulirus argus,14052,656
1989,Thunnus atlanticus,3522,38.89
1990,Coryphaena hippurus,2938,NA
1990,Mugil cephalus,7479,15354
1990,Panulirus argus,11276,672
1990,Thunnus atlanticus,4425,1333.33
1991,Coryphaena hippurus,3165,NA
1991,Mugil cephalus,6380,14881
1991,Panulirus argus,12335,697
1991,Thunnus atlanticus,5281,694.44
1992,Coryphaena hippurus,3550,47.02
1992,Mugil cephalus,6573,15043
1992,Panulirus argus,11755,677
1992,Thunnus atlanticus,5480,161.11
1993,Coryphaena hippurus,2680,50.37
1993,Mugil cephalus,6295,15364
1993,Panulirus argus,11529,723
1993,Thunnus atlanticus,4275,133.33
1994,Coryphaena hippurus,3296,57.23
1994,Mugil cephalus,6016,16001
1994,Panulirus argus,13045,762
1994,Thunnus atlanticus,3633,194.44
1995,Coryphaena hippurus,3721,67.77
1995,Mugil cephalus,7636,16004
1995,Panulirus argus,12443,791
1995,Thunnus atlanticus,4752,194.44
1996,Coryphaena hippurus,3480,55
1996,Mugil cephalus,7882,14976
1996,Panulirus argus,12306,771
1996,Thunnus atlanticus,3966,1105.56
1997,Coryphaena hippurus,4609,61.22
1997,Mugil cephalus,7128,13789
1997,Panulirus argus,12344,747
1997,Thunnus atlanticus,2165,988.89
1998,Coryphaena hippurus,3462,50.53
1998,Mugil cephalus,4299,13555
1998,Panulirus argus,12378,736
1998,Thunnus atlanticus,2845,905.56
1999,Coryphaena hippurus,4408,55
1999,Mugil cephalus,4872,14668
1999,Panulirus argus,13228,719
1999,Thunnus atlanticus,2945,27.78
2000,Coryphaena hippurus,3993,48.14
2000,Mugil cephalus,5190,14275
2000,Panulirus argus,11516,695
2000,Thunnus atlanticus,2383,138.89
2001,Coryphaena hippurus,3373,51.65
2001,Mugil cephalus,4838,12691
2001,Panulirus argus,10575,666
2001,Thunnus atlanticus,4217,683.33
2002,Coryphaena hippurus,3869,49.1
2002,Mugil cephalus,3545,NA
2002,Panulirus argus,13047,657
2002,Thunnus atlanticus,3594,944.44
2003,Coryphaena hippurus,3087,66.49
2003,Mugil cephalus,1179,NA
2003,Panulirus argus,8730,680
2003,Thunnus atlanticus,1582,116.67
2004,Coryphaena hippurus,4144,51.97
2004,Mugil cephalus,1685,NA
2004,Panulirus argus,11095,684
2004,Thunnus atlanticus,1779,250
2005,Coryphaena hippurus,4341,47.98
2005,Mugil cephalus,3807,NA
2005,Panulirus argus,9618,652
2005,Thunnus atlanticus,1368,283.33
2006,Coryphaena hippurus,3864,51.17
2006,Mugil cephalus,3976,NA
2006,Panulirus argus,7492,664
2006,Thunnus atlanticus,1448,133.33
2007,Coryphaena hippurus,4976,51.81
2007,Mugil cephalus,3002,NA
2007,Panulirus argus,8007,724
2007,Thunnus atlanticus,1819,138.89
2008,Coryphaena hippurus,4393,51.65
2008,Mugil cephalus,3201,NA
2008,Panulirus argus,9003,788
2008,Thunnus atlanticus,1575,72.22
2009,Coryphaena hippurus,5220,54.2
2009,Mugil cephalus,2712,NA
2009,Panulirus argus,7339,818
2009,Thunnus atlanticus,2375,27.78
2010,Coryphaena hippurus,4174,49.89
2010,Mugil cephalus,2558,NA
2010,Panulirus argus,7163,845
2010,Thunnus atlanticus,2273,NA
2011,Coryphaena hippurus,6477,53.72
2011,Mugil cephalus,2808,NA
2011,Panulirus argus,9182,882
2011,Thunnus atlanticus,2199,NA
2012,Coryphaena hippurus,5053,54.68
2012,Mugil cephalus,3492,NA
2012,Panulirus argus,8394,923
2012,Thunnus atlanticus,1905,NA
2013,Coryphaena hippurus,5335,61.38
2013,Mugil cephalus,2777,NA
2013,Panulirus argus,8568,907
2013,Thunnus atlanticus,1801,NA
2014,Coryphaena hippurus,5096,66.97
2014,Mugil cephalus,3534,NA
2014,Panulirus argus,8458,938
2014,Thunnus atlanticus,1882,NA
2015,Coryphaena hippurus,4863,59.31
2015,Mugil cephalus,4306,NA
2015,Panulirus argus,7805,920
2015,Thunnus atlanticus,1235,NA
2016,Coryphaena hippurus,3131,60.74
2016,Mugil cephalus,6297,NA
2016,Panulirus argus,8006,882
2016,Thunnus atlanticus,1373,NA
2017,Coryphaena hippurus,3036,43.99
2017,Mugil cephalus,4780,NA
2017,Panulirus argus,7656,NA
2017,Thunnus atlanticus,1328,NA
2018,Coryphaena hippurus,4115,46.86
2018,Mugil cephalus,7053,NA
2018,Panulirus argus,8263,NA
2018,Thunnus atlanticus,1268,NA
2019,Coryphaena hippurus,3930,45.11
2019,Mugil cephalus,4606,NA
2019,Panulirus argus,6883.8,NA
2019,Thunnus atlanticus,972,NA
